rocket_id,regime_label,theta_ddot_max,nom_sr,under_sr,over_sr,rise_time_best,tracking_rms_best,overshoot_best,rise_time_kp2,tracking_rms_kp2,overshoot_kp2,best_Kp,best_Kd,Iyy,motor_scale,max_gimbal_deg,wind_strength,servo_slew_deg_s,static_margin
R0066,EASY,152.5853459769889,1.0,1.0,1.0,0.2266666666666667,27.516109750895748,18.44626918087243,0.8516666666666667,12.09320603933051,16.539024559578213,80.0,2.0,0.0132406297672634,2.6434349163738147,12.257182349436984,0.2800467029108297,113.78639375668617,-0.1502479519291244
R0067,EASY,47.87811138971522,1.0,1.0,1.0,0.18000000000000002,58.84046717153842,140.6118980897007,1.4216666666666669,11.240624395177042,18.559878928750347,80.0,1.0,0.0140136614209136,1.121449836803926,9.566401878650808,0.2003895150476316,161.2409970770197,-0.2828548252469819
R0068,EASY,58.3569094698611,1.0,1.0,1.0,0.4166666666666667,12.724869934263126,17.19318476663272,1.1166666666666667,15.301565538158647,24.189461849329906,15.0,1.0,0.0291334181644666,2.816409707940389,9.6530492848146,0.1088875439087751,148.04437546573388,-0.2315494524618148
R0069,EASY,31.040810729111858,1.0,1.0,1.0,0.19166666666666665,68.94579616129981,180.7708354428072,1.2616666666666667,13.12004541097135,23.88059912708005,80.0,1.0,0.0250349684699009,1.6951978536636592,7.315778659983383,0.1203857620465398,150.92678542902345,-0.2906355197587377
R0070,EASY,46.93199744717877,1.0,1.0,1.0,0.2733333333333334,17.24824644664249,21.950536298615415,1.1183333333333334,17.019628051020813,32.22338649235572,40.0,1.0,0.0243324992319233,2.716733398438088,6.705337998433459,0.2786109814555069,190.6168509113914,0.1835312230966693
R0071,EASY,46.79686070072076,1.0,1.0,1.0,0.2433333333333334,45.97221955871594,23.697690918177596,1.1583333333333332,8.743739688380012,14.125550366670135,40.0,1.0,0.0351885916020593,2.297140633827313,11.485869303668537,0.0538925301342734,179.71372774500054,-0.0544809686248746
R0072,EASY,58.05099438932687,1.0,1.0,1.0,0.17166666666666663,25.223323295331113,45.20048341894392,1.21,14.507269854986104,27.232692594247613,80.0,1.0,0.0183467773948787,2.6845666083158823,6.3270082942684125,0.3591934710222942,101.36646675470784,0.282353509656476
R0073,EASY,108.93923363769022,1.0,1.0,1.0,0.2533333333333334,47.989327073346885,18.408726656840134,1.3,17.19422902962898,28.296194552762785,40.0,1.0,0.0178778208012352,2.555007717892468,12.224376498198705,0.2269883932272348,67.74935212434964,0.2844710739581726
R0074,EASY,68.98212159782774,1.0,1.0,1.0,0.17666666666666667,61.27305084378156,140.95223909548477,1.4666666666666668,15.642564098092715,25.796786850234128,80.0,1.0,0.0244125994749309,1.8669501632302408,14.510775732067009,0.0962212892614627,149.13469459543737,-0.216749855477306
R0075,EASY,36.43736024570194,1.0,1.0,1.0,0.25833333333333336,43.73496045028725,17.874577735209026,1.12,16.218646209144648,27.841578234501828,40.0,1.0,0.0119026567015671,1.9454983899143323,3.5502424739000187,0.0556868218700568,63.57298545451942,0.2925419699811795
