rocket_id,regime,wind_mult,sr,rms
R0481,EASY,1.5x,1.0,2.980898530688764
R0482,EASY,1.5x,1.0,1.9151809366127246
R0483,EASY,1.5x,1.0,3.7718789054172084
R0484,EASY,1.5x,1.0,6.387201437465692
R0485,EASY,1.5x,1.0,5.046851373746458
R0486,EASY,1.5x,1.0,2.994289656186101
R0487,EASY,1.5x,1.0,1.788029081385896
R0488,EASY,1.5x,0.6666666666666666,7.701104385849007
R0489,EASY,1.5x,0.6666666666666666,8.704738780684563
R0490,EASY,1.5x,1.0,1.0070873321356453
R0491,FRAGILE,1.5x,0.3333333333333333,16.029217986127904
R0492,EASY,1.5x,1.0,5.99710490597307
R0493,EASY,1.5x,1.0,7.838030796972479
R0494,EASY,1.5x,1.0,3.692147602965477
R0495,EASY,1.5x,1.0,3.141249091003145
R0496,EASY,1.5x,1.0,3.909944985460104
R0497,EASY,1.5x,1.0,1.2678441245796186
R0498,EASY,1.5x,1.0,3.664345677232891
R0499,EASY,1.5x,1.0,2.065097730930914
R0500,EASY,1.5x,1.0,3.4484358395545462
R0501,EASY,1.5x,1.0,3.502242007840041
R0502,EASY,1.5x,1.0,5.860496085457175
R0503,FRAGILE,1.5x,0.3333333333333333,11.026890309075604
R0504,FRAGILE,1.5x,0.3333333333333333,11.679794094475142
R0505,EASY,1.5x,1.0,5.169057429268089
R0506,EASY,1.5x,1.0,2.3480006575997145
R0507,EASY,1.5x,1.0,3.1048257244362554
R0508,EASY,1.5x,1.0,3.3612384043860497
R0509,EASY,1.5x,1.0,3.497469883635283
R0510,EASY,1.5x,1.0,4.878317894506588
R0511,EASY,1.5x,0.6666666666666666,5.300430190013941
R0512,EASY,1.5x,1.0,2.970870199844575
R0513,EASY,1.5x,1.0,3.39043865551203
R0514,EASY,1.5x,1.0,2.976908234023775
R0515,EASY,1.5x,1.0,2.764223898613052
R0516,EASY,1.5x,1.0,3.97786918387535
R0517,EASY,1.5x,0.3333333333333333,11.732700792786103
