rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0522,EASY,216.8522999839436,41.37695025803256,1,1.0,320.0,3.1155304107390784,380.0,121.96960064654124,2.1155304107390784,0.017344735077634035,undertuned,False,1.0,1.0,0
R0523,EASY,36.44042316184036,3.3381523786700504,6,7.42,88.81,1.2126321788496652,63.333333333333336,52.22798342149637,0.0,0.0,inside,True,1.0,1.0,0
R0524,EASY,13.06393688634398,1.5376529690246554,4,3.32,88.81,0.360407459665687,95.0,263.59054856445465,0.0,0.0,inside,True,1.0,1.0,0
R0525,EASY,8.763692084234286,1.7261120616430605,3,88.81,96.31,0.30876377031943336,126.66666666666667,410.23811354428966,0.0,0.0,inside,True,1.0,1.0,0
R0526,EASY,27.0787678614466,3.3507295263190193,6,43.14,88.81,1.2174802649017271,63.333333333333336,52.02000817520068,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0527,EASY,10.783502552347636,1.1113764076033956,5,3.32,43.14,0.31667737726709894,76.0,239.9918827668527,0.0,0.0,inside,True,1.0,1.0,0
R0528,EASY,18.44503392570986,1.9665585797976983,4,320.0,88.81,0.4679075898476433,95.0,203.0315431107523,225.0,1.1082021864812606,overtuned,False,1.0,1.0,0
R0529,EASY,9.008421096791258,0.7593639345562706,2,320.0,6.31,0.08739801741455225,190.0,2173.9623577360917,130.0,0.059798643494167324,overtuned,False,0.6666666666666666,1.0,0
R0530,EASY,14.37602571275764,1.3510358091259949,1,2.83,96.31,0.08256363190921923,380.0,4602.510708562572,0.0,0.0,inside,True,1.0,1.0,0
R0531,EASY,30.68787704252,4.205112049706539,2,2.4,59.67,0.5372447381665787,190.0,353.65632551079244,0.0,0.0,inside,True,0.3333333333333333,1.0,1
