cell_id,regime_label,regime_code,robustness,p_unstable,servo_slew_deg_s,max_gimbal_deg,u_max_frac,Kp,Kd,max_ang_accel_deg_s2,rise_time_s,settling_time_s,overshoot_pct,peak_att_rate_deg_s,control_effort_usage,actuator_sat_frac,slew_sat_frac,success_like_rate,rms_err_deg,peak_err_deg,end_err_deg,n_trials,rise_reached_frac,settled_frac,bounded_window_s,boundary_slew_deg_s,slew_margin_to_boundary,agility_index
68,INFEASIBLE,0,0,2,75,15,1,10,24,224.822423950369,2.315,NaN,58.6000863411433,74.3672155468877,0.701551181213411,0.405189620758483,1,0,15.3091299996375,24.0874034077577,11.7200172682287,2,1,0,2.5,NaN,NaN,-1.09747291551424
69,FRAGILE,1,1,2,90,8,0.533333333333333,10,16,258.991828150213,1.2325,NaN,68.2211424642316,75.0115068777652,0.796120493533373,0.580838323353293,0.997,0,15.574176173135,34.6607569612042,31.4082132332486,2,1,0,2.3775,NaN,NaN,0.598841879183147
70,FRAGILE,1,1,2,90,10,0.666666666666667,10,16,258.991828150213,1.2325,NaN,68.2211424642316,75.0115068777652,0.743077598981594,0.5,0.997,0,15.574176173135,34.6607569612042,31.4082132332486,2,1,0,2.3775,NaN,NaN,0.598841879183147
71,FRAGILE,1,1,2,90,12,0.8,10,16,258.991828150213,1.2325,NaN,68.2211424642316,75.0115068777652,0.69757486741207,0.445109780439122,0.997,0,15.574176173135,34.6607569612042,31.4082132332486,2,1,0,2.3775,NaN,NaN,0.598841879183147
72,FRAGILE,1,1,2,90,15,1,10,16,258.991828150213,1.2325,NaN,68.2211424642316,75.0115068777652,0.635064512185165,0.31936127744511,0.997,0,15.574176173135,34.6607569612042,31.4082132332486,2,1,0,2.3775,NaN,NaN,0.598841879183147
73,INFEASIBLE,0,0,3,20,8,0.533333333333333,10,24,309.732340004873,0.9875,NaN,147.681493737656,127.802356644588,0.93573791943572,0.828343313373253,1,0,90,90,90,2,1,0,1.4025,NaN,NaN,-0.599730997395196
74,INFEASIBLE,0,0,3,20,10,0.666666666666667,10,24,309.732340004873,0.9875,NaN,147.681493737656,127.802356644588,0.904390228504357,0.730538922155689,1,0,90,90,90,2,1,0,1.4025,NaN,NaN,-0.599730997395196
75,INFEASIBLE,0,0,3,20,12,0.8,10,24,309.732340004873,0.9875,NaN,147.681493737656,127.802356644588,0.873254387199553,0.705588822355289,1,0,90,90,90,2,1,0,1.4025,NaN,NaN,-0.599730997395196
76,INFEASIBLE,0,0,3,20,15,1,10,24,309.732340004873,0.9875,NaN,147.681493737656,127.802356644588,0.836244341702558,0.676646706586826,1,0,90,90,90,2,1,0,1.4025,NaN,NaN,-0.599730997395196
77,INFEASIBLE,0,0,3,30,8,0.533333333333333,45,24,408.797637009078,0.8975,NaN,148.264654340778,159.564346838912,0.969156800730381,0.936127744510978,1,0,90,90,90,2,1,0,1.17,NaN,NaN,0.361591970485559
78,INFEASIBLE,0,0,3,30,10,0.666666666666667,45,24,408.797637009078,0.8975,NaN,148.264654340778,159.564346838912,0.96043914266873,0.918163672654691,1,0,90,90,90,2,1,0,1.17,NaN,NaN,0.361591970485559
79,INFEASIBLE,0,0,3,30,12,0.8,45,24,408.797637009078,0.8975,NaN,148.264654340778,159.564346838912,0.951608667531594,0.900199600798403,1,0,90,90,90,2,1,0,1.17,NaN,NaN,0.361591970485559
80,INFEASIBLE,0,0,3,30,15,1,45,24,408.797637009078,0.8975,NaN,148.264654340778,159.564346838912,0.937392849020046,0.862275449101796,1,0,90,90,90,2,1,0,1.17,NaN,NaN,0.361591970485559
81,INFEASIBLE,0,0,3,45,8,0.533333333333333,30,24,369.675441320704,0.9425,NaN,146.935451509236,156.808529578046,0.958769596711972,0.914171656686627,1,0,90,90,90,2,1,0,1.2175,NaN,NaN,0.0954821012053329
82,INFEASIBLE,0,0,3,45,10,0.666666666666667,30,24,369.675441320704,0.9425,NaN,146.935451509236,156.808529578046,0.948577857913805,0.901197604790419,1,0,90,90,90,2,1,0,1.2175,NaN,NaN,0.0954821012053329
83,INFEASIBLE,0,0,3,45,12,0.8,30,24,369.675441320704,0.9425,NaN,146.935451509236,156.808529578046,0.939297657763647,0.888223552894212,1,0,90,90,90,2,1,0,1.2175,NaN,NaN,0.0954821012053329
84,INFEASIBLE,0,0,3,45,15,1,30,24,369.675441320704,0.9425,NaN,146.935451509236,156.808529578046,0.926958633541525,0.868263473053892,1,0,90,90,90,2,1,0,1.2175,NaN,NaN,0.0954821012053329
85,INFEASIBLE,0,0,3,60,8,0.533333333333333,20,4,392.381893467975,0.4725,NaN,147.317122038721,164.471390055533,0.911067687934736,0.802395209580838,1,0,90,90,90,2,1,0,0.7275,NaN,NaN,1.15072664250588
86,INFEASIBLE,0,0,3,60,10,0.666666666666667,20,4,392.381893467975,0.4725,NaN,147.317122038721,164.471390055533,0.887880920695746,0.789421157684631,1,0,90,90,90,2,1,0,0.7275,NaN,NaN,1.15072664250588
87,INFEASIBLE,0,0,3,60,12,0.8,20,4,392.381893467975,0.4725,NaN,147.317122038721,164.471390055533,0.870483596486562,0.777445109780439,1,0,90,90,90,2,1,0,0.7275,NaN,NaN,1.15072664250588
88,INFEASIBLE,0,0,3,60,15,1,20,4,392.381893467975,0.4725,NaN,147.317122038721,164.471390055533,0.850285063551576,0.7624750499002,1,0,90,90,90,2,1,0,0.7275,NaN,NaN,1.15072664250588
89,INFEASIBLE,0,0,3,75,8,0.533333333333333,60,12,423.444033638398,0.545,NaN,149.638581229427,176.389083119391,0.977233465679285,0.953093812375249,1,0,90,90,90,2,1,0,0.785,NaN,NaN,1.24003824310503
90,INFEASIBLE,0,0,3,75,10,0.666666666666667,60,12,423.444033638398,0.545,NaN,149.638581229427,176.389083119391,0.9714284808486,0.94311377245509,1,0,90,90,90,2,1,0,0.785,NaN,NaN,1.24003824310503
91,INFEASIBLE,0,0,3,75,12,0.8,60,12,423.444033638398,0.545,NaN,149.638581229427,176.389083119391,0.965204363936871,0.92814371257485,1,0,90,90,90,2,1,0,0.785,NaN,NaN,1.24003824310503
92,INFEASIBLE,0,0,3,75,15,1,60,12,423.444033638398,0.545,NaN,149.638581229427,176.389083119391,0.955523369256115,0.907185628742515,1,0,90,90,90,2,1,0,0.785,NaN,NaN,1.24003824310503
93,FRAGILE,1,0.666666666666667,3,90,8,0.533333333333333,10,4,325.710896940876,0.64,NaN,147.501046785502,158.424237111599,0.853713194696255,0.738522954091816,0.998,0,90,90,90,2,1,0,0.895,NaN,NaN,0.460252645404713
94,FRAGILE,1,0.666666666666667,3,90,10,0.666666666666667,10,4,325.710896940876,0.64,NaN,147.501046785502,158.424237111599,0.828728728642943,0.720558882235529,0.998,0,90,90,90,2,1,0,0.895,NaN,NaN,0.460252645404713
