rocket_id,design_id,regime_label,kp_simple,kd_simple,kp_full,kd_full,sr_simple_in_full,sr_full_in_full,sr_gap,sr_simple_go,sr_full_go,decision_agrees,false_approval,false_rejection,rms_simple_in_full,rms_full_in_full,rms_gap,p_unstable,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,motor_scale,servo_slew_deg_s,max_gimbal_deg,latency_steps,deadband,backlash,wind_strength
R0058,58,EASY,59.67,16.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,3.3348851033935483,0.5599266520638397,-2.7749584513297085,0.0,1.2169185642497227,0.03487894297408258,-0.06658486943855224,-65.18609057474549,9.472836512204905,1.5353136203071824,142.96437890049165,5.212727721385445,3,0.040987369493647154,0.18435564936095092,0.44057966461643894
R0059,59,EASY,295.07,4.0,22.73,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,2.976641058440251,1.16388378602271,-1.8127572724175411,3.429270607661755,1.1692657916793767,0.020646757002001817,0.27198870672075254,-55.9837966043852,8.210152503696367,1.7722369591658824,66.38776211753,10.14065041793234,3,0.11604407662815158,0.05439949962993675,0.3285205482004559
R0060,60,EASY,1.0,1.0,96.31,1.0,1.0,1.0,0.0,1,1,1,0,0,2.6162258199426556,0.6787022084242523,-1.9375236115184031,0.0,1.585549179073217,0.033987692892396865,-0.26599559167077613,-79.967281222899,7.789730666973115,1.2769397984000752,106.76557278595556,2.5224218011238175,3,0.027447137690137367,0.1528524212313461,0.2815762725996163
R0061,61,EASY,46.78,16.0,36.97,1.0,1.0,1.0,0.0,1,1,1,0,0,6.131515790114162,0.9823389337507896,-5.149176856363372,0.0,1.2754173443383163,0.03290933430657,-0.10479007800624554,-76.3703729111811,7.427809145524771,2.2731925735130005,117.96606474966359,2.3338223815491053,3,0.14432749906426598,0.1039820465637839,0.17146553107874768
R0062,62,EASY,50.74,16.0,59.67,1.0,1.0,1.0,0.0,1,1,1,0,0,6.181076259339029,0.7736406794927376,-5.407435579846291,0.0,1.144529230571631,0.03447349180828196,-0.27097403052060587,-18.659387363926555,13.125257975708182,2.092868251524929,70.19786296244648,14.840676507038738,4,0.11610967131418605,0.0003426827915275014,0.4168581108917663
R0063,63,EASY,2.83,4.0,69.63,1.0,1.0,1.0,0.0,1,1,1,0,0,4.284313543740461,0.5042953285135253,-3.7800182152269355,1.0564846939999766,1.9772317159932116,0.03573206796144128,0.05646706129177703,-81.37892699540214,8.408929063565578,1.7005395512920973,152.6360630110472,8.67786395857907,1,0.008237017671665528,0.022265293270195146,0.3846616575702065
R0064,64,EASY,31.19,4.0,88.81,1.0,1.0,1.0,0.0,1,1,1,0,0,8.03216047838955,0.694678255288423,-7.3374822231011265,1.3112565891588157,1.441423561438937,0.02863849167677158,0.13691465323315455,-51.25156583405303,9.03371598621196,2.5741724405932334,193.60534198987568,10.272599624332631,4,0.03686175283680747,0.09448710590457363,0.16159366839951328
R0065,65,EASY,59.67,16.0,81.89,1.0,1.0,1.0,0.0,1,1,1,0,0,4.686014786735289,0.47399374448549897,-4.2120210422497895,0.0,1.480636909935808,0.03740673625712306,-0.0379149878252823,-65.45624047989737,11.174477060102154,1.064635353026433,180.14667503750596,9.019039974368233,5,0.018384624527418257,0.11582914023542291,0.11159172788526289
R0066,66,EASY,1.9,4.0,215.01,1.0,0.0,1.0,1.0,0,1,0,0,1,37.203331715550085,1.2016106144298566,-36.00172110112023,0.0,1.0585537561551563,0.013240629767263465,-0.1502479519291244,-62.360356681612416,12.220025016054496,2.6434349163738147,113.78639375668615,12.257182349436984,3,0.09609980373724254,0.004628977194785104,0.2800467029108297
R0067,67,EASY,3.6,1.0,168.58,1.0,1.0,1.0,0.0,1,1,1,0,0,2.600734253110936,0.5443177214632734,-2.0564165316476624,0.0,0.9107455329241243,0.01401366142091363,-0.28285482524698197,-69.23897099369198,8.396216140875124,1.121449836803926,161.2409970770197,9.566401878650808,4,0.14664578187980334,0.0007650502355892654,0.20038951504763164
R0068,68,EASY,43.14,16.0,11.97,1.0,0.6666666666666666,1.0,0.33333333333333337,1,1,1,0,0,7.584188048413488,2.345749564538481,-5.238438483875006,0.0,1.2354901167773287,0.0291334181644666,-0.2315494524618148,-18.618067231954498,8.176772635994764,2.816409707940389,148.04437546573388,9.653049284814601,6,0.0509913340939854,0.13726213325347925,0.10888754390877513
R0069,69,EASY,132.17,4.0,70.18,1.0,1.0,1.0,0.0,1,1,1,0,0,1.7115631506326725,0.5800135335695159,-1.1315496170631567,0.0,1.7755448365449076,0.02503496846990095,-0.2906355197587377,-87.33441847191386,13.325176540743179,1.6951978536636592,150.92678542902343,7.315778659983383,2,0.05625149197558177,0.06433336706925379,0.12038576204653983
