step,metric,metric_val,success,mass,Iyy,static_margin,Cm_alpha,control_effectiveness,thrust,servo_slew_deg_s,max_gimbal_deg,deadband,backlash,wind_strength,latency_steps,rocket_id,design_id,regime_label
2,rms_error_deg,12.375423195539515,0,1.7652557846059123,0.01484167799294907,0.18861987068712688,-40.56524863703348,8.24201963401976,26.45875014256051,110.89222600654497,11.566688353487637,0.032595521721631,0.240575207327473,0.42055321483777447,3,R0795,795,FRAGILE
3,rms_error_deg,9.454601779731654,1,1.771109897103754,0.015332390985707184,0.18783720066605447,-40.13041416019291,8.35549933594603,26.317291396490912,110.10867921808534,11.510350846976994,0.03020721633358276,0.2419724556393258,0.4238805521389664,3,R0795,795,FRAGILE
4,rms_error_deg,8.711919095066937,0,1.7734241931173345,0.015570298526691192,0.18724769929178478,-40.21461721742057,8.578334513196593,26.22923105053982,113.14793443851278,11.37326396537094,0.029887672241222622,0.2413309303290524,0.42473412002682326,3,R0795,795,FRAGILE
5,rms_error_deg,12.392433377852319,0,1.7714898199136844,0.014346306391412272,0.18694707111092249,-40.107347875020935,8.621943060200634,26.90595709893692,113.335453436092,11.387337948358743,0.02977501703642237,0.24098351544135604,0.418549111725859,3,R0795,795,FRAGILE
0,rms_error_deg,7.678725196102922,1,1.7780139496433165,0.0167761515900034,0.091259631060247,-36.25079784059968,11.213016688532615,25.70260338417313,43.02712738039958,8.800925055311474,0.0906065324134393,0.1233501695950225,0.3489616516392181,3,R0796,796,EASY
1,rms_error_deg,7.0685854797828656,1,1.7809641761927792,0.017014488704041538,0.0883446602100697,-35.9376157289352,11.204384646340488,26.12098672824691,44.64772371168996,8.767800227596657,0.0906065324134393,0.11777550037095513,0.34645713469970324,3,R0796,796,EASY
2,rms_error_deg,9.084048876132979,1,1.7773338653585304,0.017024780788414462,0.09291537491172264,-36.11359232239279,11.266415657287562,25.742593157792847,46.72815298679672,8.854989780794599,0.0906065324134393,0.11468974683461722,0.3457580753290827,3,R0796,796,EASY
3,rms_error_deg,6.712529006057607,0,1.792262644379959,0.01693701756776352,0.09189379140037611,-35.588012615670294,11.352553429774874,25.686786002770518,49.09341038837074,8.681426717177219,0.0906065324134393,0.11324890153006541,0.3459071439226276,3,R0796,796,EASY
4,rms_error_deg,7.130926547975112,1,1.8030419055807776,0.017194149996720132,0.09241382305158519,-34.26928520979091,11.280002977080553,25.758057572912154,48.02955398563863,8.81718484610342,0.0906065324134393,0.11213551805630402,0.3453152569594841,4,R0796,796,EASY
5,rms_error_deg,6.412022592770894,0,1.770067712044925,0.017995601673864138,0.0918526710316714,-34.22437815248321,11.286969739468525,26.029509236118532,48.49536617560283,8.876302233937244,0.0906065324134393,0.10960547750067401,0.34812415154765114,4,R0796,796,EASY
0,rms_error_deg,12.7930954283997,1,1.1043708278312896,0.0254224227850847,0.0919756498818111,-60.20068461046763,6.954774769371074,36.19500869657454,42.956537981688925,14.838565188284385,0.1217324782820007,0.1787380547076204,0.1841248806198551,1,R0797,797,FRAGILE
1,rms_error_deg,11.407759474829096,0,1.114177296078144,0.025507425536669976,0.09093503931716855,-59.78804838088715,7.018010753431974,36.44509014630776,45.330302072194414,14.798717681579646,0.1217324782820007,0.1764726622403901,0.17694313288396812,1,R0797,797,FRAGILE
2,rms_error_deg,10.345060224117574,0,1.1205404909829817,0.02569267970716209,0.08701206551270056,-59.806266317985425,7.0636227178793485,36.62170930689528,47.51517647298277,14.77172974410886,0.1217324782820007,0.1738738195866144,0.16885529913267952,1,R0797,797,FRAGILE
3,rms_error_deg,8.952531615439849,0,1.1340196574819883,0.025990204966892354,0.08434971278861274,-59.594401633643315,7.075703663851856,36.60795236146849,49.51952348030024,14.736954166464203,0.1217324782820007,0.17153235157268062,0.15926666516292884,1,R0797,797,FRAGILE
4,rms_error_deg,7.875202256845364,0,1.154173426215585,0.02608957547662222,0.08240719976436463,-59.54937230868214,7.113390276512312,36.60311194361166,51.01872064521034,14.664167626346748,0.1217324782820007,0.16856272244463308,0.14830468087873502,1,R0797,797,FRAGILE
5,rms_error_deg,6.81119187288273,0,1.1670199679094113,0.02645509427052371,0.07914603633618905,-59.500066189348054,7.127655425565556,36.59769909963323,52.231371819660815,14.61789935034237,0.12171660750775594,0.16669824086445956,0.13571644431666302,1,R0797,797,FRAGILE
0,rms_error_deg,70.13635765005296,0,1.2343467756950248,0.0306360824066214,0.1422923729222793,-62.89369217389941,7.849432354883778,41.02849350438914,36.65663237201005,13.14701572165414,0.0679102371180702,0.2022807932911506,0.4031483056705066,5,R0798,798,INFEASIBLE
1,rms_error_deg,60.25123895999697,0,1.2438600759571359,0.03084344730924429,0.13739062112134598,-62.3363097705557,7.880209491181086,41.16608707274768,38.59424224198387,13.121039304155703,0.0679102371180702,0.20142341636768576,0.39863757785118276,5,R0798,798,INFEASIBLE
2,rms_error_deg,51.65652815812282,0,1.261978206429216,0.031069286018135148,0.1320610532506385,-61.956871093067214,7.906818411551279,41.28787853175765,40.27073708075612,13.089662534861285,0.0679102371180702,0.19983879482101422,0.3963072740791588,5,R0798,798,INFEASIBLE
3,rms_error_deg,45.926044791295496,0,1.265416574018996,0.030999042120946126,0.12658017741366642,-61.496555513689856,7.951828896224944,41.521177026258755,42.44207356931298,13.06236525141066,0.0679102371180702,0.1979635743237355,0.3929336747886514,4,R0798,798,INFEASIBLE
4,rms_error_deg,39.36819236724672,0,1.27336503469893,0.030962293036111612,0.12109868773751441,-60.89718190815819,8.00218723591201,41.65072978202337,44.73514952000401,13.040250434022502,0.06791121259731575,0.19615515961248878,0.3906729298796458,4,R0798,798,INFEASIBLE
5,rms_error_deg,35.960272001193196,0,1.292062727669757,0.03113422311888168,0.1164622979687871,-60.433143439215826,8.04236317000312,41.69009847870909,46.85291292165498,13.020535687774888,0.06791121259731575,0.19439972436754469,0.3879328626783711,4,R0798,798,INFEASIBLE
