keff_target,wind_strength,Kp,sr,rms
14.0,0.25,5,0.5,17.062572327527935
14.0,0.25,10,0.375,19.190804044865832
14.0,0.25,20,0.25,12.66801049587278
14.0,0.25,40,0.625,8.518318715327347
14.0,0.25,80,0.875,6.553641769368199
14.0,0.25,160,1.0,4.488596467993858
14.0,0.3,1,0.125,28.69591570561957
14.0,0.3,2,0.25,27.932615549729597
14.0,0.3,5,0.375,15.307177279420511
14.0,0.3,10,0.25,17.30853263847045
14.0,0.3,20,0.375,11.502892090750516
14.0,0.3,40,0.875,10.007004544694425
14.0,0.3,80,0.75,5.876541116722132
14.0,0.3,160,0.875,4.1498121225435405
14.0,0.35,1,0.0,34.44030816928296
14.0,0.35,2,0.0,25.113009476779563
14.0,0.35,5,0.0,17.734811118599165
14.0,0.35,10,0.375,18.935989043303206
14.0,0.35,20,0.375,12.569691899931453
14.0,0.35,40,0.875,8.069384253614857
14.0,0.35,80,0.75,7.678581972987111
14.0,0.35,160,1.0,3.9323742047107073
14.0,0.4,1,0.0,37.634382584649124
14.0,0.4,2,0.0,33.714007983320975
14.0,0.4,5,0.25,26.431326849148192
14.0,0.4,10,0.125,14.788315089800967
14.0,0.4,20,0.375,14.420712142524655
14.0,0.4,40,0.75,8.299594447859905
14.0,0.4,80,0.875,6.071704003088685
14.0,0.4,160,1.0,3.871538405480224
20.0,0.0,1,0.0,30.504343106987132
20.0,0.0,2,0.375,22.15286211493188
20.0,0.0,5,0.25,22.814993899195095
20.0,0.0,10,0.25,17.937584880584136
20.0,0.0,20,0.875,9.46711397850536
20.0,0.0,40,0.5,12.043696351603964
20.0,0.0,80,0.75,8.258463111213473
20.0,0.0,160,1.0,4.795604031709195
20.0,0.05,1,0.125,39.25050416343517
20.0,0.05,2,0.375,25.74246677090284
20.0,0.05,5,0.125,21.376396400368822
20.0,0.05,10,0.375,19.925209465556726
20.0,0.05,20,0.375,13.931611340982348
20.0,0.05,40,0.375,11.596409716454827
20.0,0.05,80,0.875,6.911586131362549
20.0,0.05,160,0.875,5.730642738239705
20.0,0.1,1,0.25,19.167126761490948
20.0,0.1,2,0.0,30.909452396787685
20.0,0.1,5,0.0,24.984913474004717
20.0,0.1,10,0.125,18.176255241680348
20.0,0.1,20,0.625,11.406513184255298
20.0,0.1,40,0.75,8.456107057092472
20.0,0.1,80,0.5,8.388777166799766
20.0,0.1,160,1.0,5.9173170159691395
20.0,0.15,1,0.0,35.33902915169616
20.0,0.15,2,0.25,18.269683937481012
20.0,0.15,5,0.125,17.261814923901742
20.0,0.15,10,0.625,12.8880930241911
20.0,0.15,20,0.5,11.724803514094747
20.0,0.15,40,0.625,9.926875489759505
20.0,0.15,80,0.625,8.518517921248488
20.0,0.15,160,1.0,5.48584858426478
20.0,0.2,1,0.125,24.154226521686454
20.0,0.2,2,0.0,35.53428690826106
20.0,0.2,5,0.125,20.970988379147574
20.0,0.2,10,0.0,28.67099896172343
20.0,0.2,20,0.125,18.72663693333686
20.0,0.2,40,0.375,10.927228726582873
20.0,0.2,80,0.5,7.863364429912627
20.0,0.2,160,0.875,7.2372239335697826
20.0,0.25,1,0.125,26.22197417341579
20.0,0.25,2,0.125,30.081304101265385
20.0,0.25,5,0.25,19.26607821789995
20.0,0.25,10,0.5,17.762456202635054
20.0,0.25,20,0.125,17.453689777489114
20.0,0.25,40,0.375,13.0454312847566
20.0,0.25,80,0.75,6.636919694792765
20.0,0.25,160,0.75,6.5961629903926235
20.0,0.3,1,0.125,41.36220531709222
20.0,0.3,2,0.0,34.88689273118227
20.0,0.3,5,0.125,38.22684644392117
20.0,0.3,10,0.375,19.068897712924677
20.0,0.3,20,0.25,18.619536965016373
20.0,0.3,40,0.625,12.599953956457451
20.0,0.3,80,0.5,9.261091442653893
20.0,0.3,160,1.0,3.9401143117322794
20.0,0.35,1,0.125,27.535473934800955
20.0,0.35,2,0.125,29.19122541165983
20.0,0.35,5,0.25,25.707561545904277
20.0,0.35,10,0.125,20.929681272342712
20.0,0.35,20,0.125,14.191865069243828
20.0,0.35,40,0.625,10.760897137282903
20.0,0.35,80,0.625,9.00382525729491
20.0,0.35,160,0.75,6.579127867710969
20.0,0.4,1,0.125,25.618639101567993
20.0,0.4,2,0.5,11.715083575887824
20.0,0.4,5,0.125,28.73348899425482
20.0,0.4,10,0.25,17.108520606314258
20.0,0.4,20,0.0,18.021461265907686
20.0,0.4,40,0.625,8.446904256029901
20.0,0.4,80,0.5,7.758293192125066
20.0,0.4,160,0.875,5.764059667194356
