rocket_id,regime,sr_adrc,sr_pid_best,sr_kp2
R0234,EASY,1.0,0.0,1.0
R0235,EASY,1.0,0.0,0.3333333333333333
R0236,EASY,1.0,0.3333333333333333,0.6666666666666666
R0237,EASY,1.0,0.0,1.0
R0238,EASY,1.0,1.0,0.3333333333333333
R0239,EASY,1.0,0.0,0.3333333333333333
R0240,EASY,1.0,0.3333333333333333,0.6666666666666666
R0241,EASY,1.0,1.0,1.0
R0242,EASY,1.0,1.0,0.3333333333333333
R0243,EASY,1.0,0.0,0.3333333333333333
R0244,EASY,1.0,1.0,0.6666666666666666
R0245,EASY,1.0,0.0,1.0
R0246,EASY,1.0,0.0,0.6666666666666666
R0247,EASY,1.0,0.3333333333333333,1.0
R0248,EASY,1.0,0.3333333333333333,0.6666666666666666
R0249,EASY,1.0,0.0,1.0
R0250,EASY,1.0,0.6666666666666666,0.6666666666666666
R0251,EASY,1.0,0.6666666666666666,0.3333333333333333
R0252,EASY,1.0,1.0,0.6666666666666666
R0253,EASY,1.0,0.0,0.6666666666666666
R0254,EASY,1.0,1.0,1.0
R0255,EASY,1.0,1.0,0.6666666666666666
R0256,EASY,1.0,0.0,0.6666666666666666
R0257,EASY,1.0,0.3333333333333333,0.6666666666666666
R0258,EASY,1.0,1.0,0.6666666666666666
R0259,EASY,1.0,0.6666666666666666,0.6666666666666666
R0260,EASY,1.0,0.0,0.3333333333333333
R0261,EASY,1.0,0.3333333333333333,0.6666666666666666
R0262,EASY,1.0,0.3333333333333333,1.0
R0263,EASY,1.0,0.6666666666666666,1.0
R0264,EASY,1.0,0.0,1.0
R0265,EASY,1.0,1.0,0.3333333333333333
R0266,EASY,1.0,0.6666666666666666,0.6666666666666666
R0267,FRAGILE,1.0,0.0,0.0
R0268,EASY,1.0,0.0,0.3333333333333333
R0269,EASY,1.0,0.0,1.0
R0270,EASY,1.0,0.0,0.3333333333333333
R0271,EASY,1.0,1.0,0.6666666666666666
R0272,EASY,1.0,0.0,1.0
R0273,EASY,1.0,0.0,0.3333333333333333
R0274,EASY,1.0,1.0,1.0
R0275,EASY,1.0,0.0,0.6666666666666666
R0276,EASY,1.0,0.0,1.0
R0277,EASY,1.0,0.0,0.6666666666666666
R0278,EASY,1.0,0.0,1.0
R0279,EASY,1.0,1.0,0.3333333333333333
R0280,EASY,1.0,0.6666666666666666,0.6666666666666666
R0281,EASY,1.0,1.0,0.3333333333333333
R0282,EASY,1.0,0.0,1.0
R0283,MARGINAL,1.0,0.6666666666666666,0.6666666666666666
R0284,EASY,1.0,0.0,0.6666666666666666
R0285,EASY,1.0,0.0,1.0
R0286,EASY,1.0,0.0,0.6666666666666666
R0287,EASY,1.0,0.6666666666666666,0.6666666666666666
R0288,EASY,1.0,1.0,1.0
R0289,EASY,1.0,0.0,0.6666666666666666
R0290,EASY,1.0,0.0,0.3333333333333333
R0291,EASY,1.0,1.0,1.0
R0292,EASY,1.0,0.0,0.3333333333333333
R0293,EASY,1.0,1.0,0.3333333333333333
R0294,EASY,1.0,0.0,1.0
R0295,EASY,1.0,1.0,0.6666666666666666
R0296,EASY,1.0,0.0,0.0
R0297,EASY,1.0,0.6666666666666666,0.3333333333333333
R0298,EASY,1.0,0.0,0.3333333333333333
R0299,EASY,1.0,1.0,0.6666666666666666
R0300,EASY,1.0,0.0,0.6666666666666666
R0301,EASY,1.0,1.0,0.6666666666666666
R0302,EASY,1.0,0.0,0.6666666666666666
R0303,EASY,1.0,0.0,1.0
R0304,EASY,1.0,0.0,0.3333333333333333
R0305,EASY,1.0,0.0,0.6666666666666666
R0306,EASY,1.0,0.0,1.0
R0307,EASY,1.0,1.0,1.0
R0308,EASY,1.0,0.0,1.0
R0309,EASY,1.0,0.0,1.0
R0310,EASY,1.0,0.0,1.0
R0311,EASY,1.0,0.0,0.6666666666666666
R0312,EASY,1.0,0.0,0.6666666666666666
R0313,EASY,1.0,0.0,1.0
R0314,EASY,1.0,0.6666666666666666,1.0
