gust_idx,amp_idx,seed,disturb_amp,gust_std,pass,cause_code,rms_post_deg,peak_post_deg,false_sat,late_detection,conf_collapse,authority_exhaust,shield_dominated
1,10,2,5.5,0.1,1,0,3.85366295356191,11.0739987538288,1,0,0,0,0
1,10,3,5.5,0.1,1,0,6.76462217096657,22.5051901875986,1,0,0,0,0
1,10,4,5.5,0.1,1,0,3.4424897152673,7.02678660284541,1,0,0,0,0
1,10,5,5.5,0.1,1,0,4.2038265957729,8.37561314059609,1,0,0,0,0
1,10,6,5.5,0.1,0,1,112.264142143621,265.02223812954,1,0,0,1,0
1,10,7,5.5,0.1,0,1,372.71944094509,908.617198587155,1,0,0,1,0
1,10,8,5.5,0.1,1,0,5.03496965595942,12.199252809273,1,0,0,0,0
1,10,9,5.5,0.1,0,1,408.224497635472,1122.54226554514,1,0,0,1,0
1,10,10,5.5,0.1,0,1,398.126307897117,982.129203885279,1,0,0,1,0
1,11,1,6,0.1,0,1,4367.6443084105,6184.57494487488,1,0,0,1,0
1,11,2,6,0.1,0,1,1112.57473565716,1887.47060012635,1,0,0,1,0
1,11,3,6,0.1,0,1,295.56108000979,903.00350077486,1,0,0,1,0
1,11,4,6,0.1,0,1,2706.4542940352,3876.27953326763,1,0,0,1,0
1,11,5,6,0.1,0,1,65.1719758804366,208.913656427434,1,0,0,1,0
1,11,6,6,0.1,1,0,4.91349462054522,11.3567242750636,1,0,0,0,0
1,11,7,6,0.1,1,0,4.87418726356608,9.51460859996914,1,0,0,0,0
1,11,8,6,0.1,1,0,5.27419597324785,11.7173318132564,1,0,0,0,0
1,11,9,6,0.1,1,0,7.1225975517464,21.3707318054495,1,0,0,0,0
1,11,10,6,0.1,0,1,499.880644609594,1495.47540668027,1,0,0,1,0
2,1,1,1,0.2,1,0,6.84327125855564,10.8957971680329,0,0,1,0,0
2,1,2,1,0.2,1,0,1.27714177955988,2.48324994431013,0,0,1,0,0
2,1,3,1,0.2,1,0,1.33168802592574,3.09262409299719,0,0,1,0,0
2,1,4,1,0.2,1,0,1.31090507427529,2.84025968569877,0,0,1,0,0
2,1,5,1,0.2,1,0,2.35661323449073,5.63430021657756,0,0,1,0,0
2,1,6,1,0.2,1,0,3.16028574820258,5.99965065176337,0,0,1,0,0
2,1,7,1,0.2,1,0,3.14301745011317,6.88258541080425,0,0,1,0,0
2,1,8,1,0.2,1,0,3.31321068440653,6.42079579712626,0,0,1,0,0
2,1,9,1,0.2,1,0,1.53242663417727,3.58886335770224,0,0,1,0,0
2,1,10,1,0.2,1,0,3.97577754974573,9.12402779896703,0,0,1,0,0
2,2,1,1.5,0.2,1,0,6.88669614093711,11.6169818683956,0,0,0,0,0
2,2,2,1.5,0.2,1,0,1.59059436583595,3.47647708337325,0,0,1,0,0
2,2,3,1.5,0.2,1,0,1.91626742700294,4.98013614884967,0,0,1,0,0
2,2,4,1.5,0.2,1,0,1.65590098412138,4.09976700240503,0,0,1,0,0
2,2,5,1.5,0.2,1,0,2.9013604597287,6.77440039189533,0,0,1,0,0
2,2,6,1.5,0.2,1,0,3.34258084537128,7.0399176765567,0,0,1,0,0
2,2,7,1.5,0.2,1,0,3.44320041591382,7.09648651615619,0,0,1,0,0
2,2,8,1.5,0.2,1,0,3.32477387532993,6.09212462282863,0,0,1,0,0
2,2,9,1.5,0.2,1,0,2.15753530457396,6.12066437489015,0,0,1,0,0
2,2,10,1.5,0.2,1,0,4.30202145593026,10.0835276155931,0,0,1,0,0
2,3,1,2,0.2,1,0,7.23418347793823,12.815984134551,0,0,0,0,0
2,3,2,2,0.2,1,0,1.92627293204499,5.34733141519138,0,0,0,0,0
2,3,3,2,0.2,1,0,1.86490600490096,4.39466534524455,0,0,1,0,0
2,3,4,2,0.2,1,0,1.87623342004084,4.64995338981557,0,0,1,0,0
2,3,5,2,0.2,1,0,2.85463355568522,6.12704216851173,0,0,0,0,0
2,3,6,2,0.2,1,0,3.39801270480366,8.12288150264056,0,0,0,0,0
2,3,7,2,0.2,1,0,3.39209864281771,6.86176119884686,0,0,0,0,0
2,3,8,2,0.2,1,0,3.61345847890869,7.70369364431597,0,0,0,0,0
2,3,9,2,0.2,1,0,2.12573312063512,4.53296147868705,0,0,1,0,0
2,3,10,2,0.2,1,0,3.92330466905649,9.36782353680878,0,0,1,0,0
2,4,1,2.5,0.2,1,0,6.90591236735049,11.6667579090376,0,0,0,0,0
2,4,2,2.5,0.2,1,0,2.32026889973881,6.69152911851554,0,0,0,0,0
2,4,3,2.5,0.2,1,0,2.1989204405265,6.98600566298672,0,0,0,0,0
